425 дєпутатів в рада  300 голосують макс 240 де решта блядей,0
філи це для вас новина,0
 kofan cafe in кременчук полтавська область,1
 маршрутка №65 in kharkiv kharkivs’ka oblast’,1
короткометражка анатолий шарий,1
но оно таки поднялось,1
 покращення крокуе краiною,1
с яценюк володя ты что с ума сошел у агрессора газ покупать гэть премьера гэть гэть,0
[украина цэ] очередная от ганапольского,0
бана знову ,0
 будапешт венгрия,1
 днепропетровский городской совет,1
$ 26 50 однотуровый и кулявлобовый,0
€50 000 из бюджета нидерландов пойдет на печать антиукраинской туалетной бумаги,0
*не подумайте нічого я просто емоційна людина������������* перші кроки мого малятка на плитці,1
*подслеповато щурится* он что с кацапским калашниковым це ж громадяне ратуйте немедленно декоммунизировать,0
 quot вас примут радостно у входа  quot аберрациясознания страна404 украинствоэто мыздобулы,0
 quot весьмирснами quot картинка нерабыдло аберрациясознания несостоявшаясяперемога страна404,0
 quot время и стекло quot опять гастролирует по вражеской россии куда смотрит сбу,0
 quot жив курилка quot аберрациясознания хтонескачетоймоскаль украинствоэто мыздобулы страна404,0
 quot и пошли они солнцем палимы  quot нерабыдло аберрациясознания страна404 украинствоэто мыздобулы,0
 quot не виноватая я quot с аберрациясознания,0
 quot такой безнадеги даже в 1990 е не было quot мыздобулы,0
 quot только несколько сумашедших хотят присоединиться к ес теперь quot томас миндер,0
  и многие из нанятых на строительство крымского моста со стороны страны агрессора укрограждан бывшие херои ато,0
 your computer appears to be from ukraine so were routing you to a server close to the eu region,1
 копрофіл той хто їбе гівно  у тебе насрато в голові тобто твій мозок гівно  інфоволонтер їбе твій мозок,1
 свежая jobs bank business forex job stats web happy,0
+1% обєм промислового виробництва в грудні 2015 україна позитивніновини,1
+1 я тут спотифай девелоплю и тестю так эта зараза со своим хелло во всех топах висит,0
+ россия москва,1
04 02 2016 день когда стала повседневной реальностью ничегонеменяется,0
1+1 ikea відкриває магазин в україні upd з першим квітня друзі та сподіваємося разом з вами,1
1+1 знову цинізм від змі у новорічну ніч поставили ані_лорак це вже занадто україна анілорак,0
100% бавовна оце так аж сльози течуть,0
100% заказ путина,0
100% зрадная,0
100 видео хтонескачетоймоскаль крутитьнаждак,0
100 го левела,0
100млн в міс це 1млрд 200млн в рік а техніку для всу купувать нема за що санкціі війна,0
1028 е місце це звичайно,1
1 0 gerukr euro2016,0
10к за 4 года бакалаврата это много или мало нпу,1
10 ознак що чоловік вам буде зраджувати чоловіки,0
​10 украинских производителей молочной продукции вошли в перечень утвержденных экспортеров в ес,1
112й канал самый зрадный власть критикуют оппозиции слово дают иногда правду говорят а це,0
1 13 сентября в очередной раз обидели павла деда мороза губарева [1] забрав у него очередной домен,1
119 депутатов верховной рады миллионеры но получали компенсацию на жилье это высшее достижение майдана украина,0
11 стран франция германия италия и др против оценки еврокомиссией енергетич х соглашений между правительствами стран ес и газпромом,0
11 травня київська міська рада від імені м києва розірвала усі договори про побратимство партнерство,1
12 команд один тв пул бюджет распределяется согласно достижением клубов мне кажется или в украинском футболе зреет маленькая,1
12 миллионов зрадников испанскийлыжныйинструктор крутитьнаждак,0
12 онлайн сервисов которые упростят общение с властью украина,1
12 років чекали ми на цю мить україна джамала євробачення ukr ukraine jamala 1944 win,1
137 раз с нового года хавал там а они макдональдзукраїна,0
13 річна лучанка виборола гран прі міжнародного музичного конкурсу лучани район,1
13 травня україна здобула перемогу з синхронного плавання на чемпіонаті європи з водних видів спорту у лондоні спорт success,1
14 випадків державної зради та тероризму зафіксували вінницькі слідчі сбу кримінал,0
15 00 біля фонтану найбільша водяна баталія броварів за участю пожежників парк,1
150 и 170 миллионов тонн несостоявшаясяперемога трiюмфальнокрокуватиме придуматьчтотодругое крутитьнаждак,0
15 5 часов без инет и все это просто из за дождя це  позняки,1
15 днів без алкоголю,1
15 лютого вирішив що мені потрібна віза шенген зібрав документи і 16 подався у візовий центр мій паспорт уже  готовий,1
17 липня проміжні вибори народних депутатів у кількох округах майдан україна революція цвк вибори,0
18 дней без алкоголя счет идет на минуты друзья,1
18 травня детективи набу спільно з прокурорами сап затримали заступника прокурора київської області,1
1939 рік спільна хода вермахт і ркка в брєст 8травня 2світова_війна гітлєр сталін 1939_1945,1
1996 року,0
1 cавченко вернулась 2 нефть за 50$ не все украинцы розуміють яка новина украина,0
1 говорят что кур доят 2 затем,0
1 грудня 2013 року ображений порошенко написав заяву до мвс на правосеків з банкової україна майдан,0
1 залез на крышу осмотрелся 2 увидел составы в дыру 3 написал твит а че там проверять 4 профит потому как,0
1 марта снова подорожание а так хотели покращення яценюк порошенко,0
1 мая в полтора раза дорожает газ а вода и отопление на 80% с покращенням господа украина пиздец wow,0
